BC,feat,trn_u,trn_s,val_u,val_s,PLD_u,PLD_s,LD1_u,LD1_s,IL1_u,IL1_s,LD2_u,LD2_s,IL2_u,IL2_s,method
1,E,19.41694,0.519023,24.366909,0.540441,17.576799,0.358511,10.235815,0.237645,13.179635,0.259718,10.420704,0.230698,10.672025,0.26873,FSNet
1,E+T,19.819609,0.803204,24.977484,0.766675,18.244143,0.244941,11.991852,0.209615,14.954785,0.368848,11.596465,0.135228,11.784841,0.206429,FSNet
1,E+M,15.408907,0.313082,18.714514,0.504892,13.663562,0.316069,9.365115,0.106935,11.927744,0.122748,9.514723,0.073648,9.873882,0.132211,FSNet
1,E+T+M,18.025171,0.417767,23.426529,0.998337,16.482219,0.202628,11.68378,0.214851,14.189364,0.196016,10.734187,0.123241,11.577657,0.236243,FSNet
1,E,15.940156,0.057376,25.387442,0.069785,18.921877,0.025838,12.687914,0.060593,16.16565,0.084872,14.36536,0.056087,13.772696,0.068416,NBEATS+OL
1,E+T,28.564483,0.395198,46.177427,0.634187,30.278204,0.17082,30.631541,0.33633,25.526843,0.265977,23.578072,0.300658,19.93453,0.244938,NBEATS+OL
1,E+M,19.288192,0.185205,26.402834,0.301643,21.64088,0.19225,16.178228,0.116484,17.819387,0.121087,16.298057,0.149757,15.935726,0.122239,NBEATS+OL
1,E+T+M,32.040874,0.398892,43.553052,2.331783,31.68189,0.424456,30.453882,0.416652,26.219468,0.514141,23.551215,0.375201,20.167418,0.289076,NBEATS+OL
1,E,11.665523,0.077508,19.835107,0.17587,15.890485,0.111797,14.79572,0.097869,23.417632,0.851755,17.544963,0.118083,14.896595,0.314729,NBEATS
1,E+T,11.291275,0.304771,30.333214,0.585921,22.238283,0.53205,47.676968,1.221641,53.271661,0.979837,50.549452,2.085907,29.994428,1.491387,NBEATS
1,E+M,10.090676,0.28255,19.802386,0.212408,15.612929,0.218765,27.494474,0.710591,34.167424,1.711539,31.739385,1.089487,17.466389,0.245974,NBEATS
1,E+T+M,9.322506,0.294649,31.882883,0.548042,20.679182,0.259,66.587866,4.468593,69.441632,3.215008,73.109666,5.386245,43.787131,2.311002,NBEATS
1,E,33.568013,3.46735,64.22926,3.623538,49.018258,4.072455,33.626823,10.172362,44.290401,30.615502,28.810645,9.511302,31.023362,12.026801,LSTM+OL
1,E+T,33.327914,1.80024,56.383375,7.803518,39.860598,4.941236,32.14739,4.648509,35.501858,6.912687,25.870135,6.520155,31.156536,6.822741,LSTM+OL
1,E+M,34.195664,3.364819,65.619314,5.978441,52.705426,4.244655,40.472758,10.460653,53.320984,14.513796,40.669289,11.634724,47.784209,13.94079,LSTM+OL
1,E+T+M,36.510226,1.072838,64.600793,2.930746,54.660852,4.567606,45.674734,1.557743,58.939834,2.467285,42.08006,1.92618,51.510946,2.020245,LSTM+OL
1,E,13.719128,0.821335,23.092733,2.839292,19.927685,1.589329,38.515487,3.824821,37.048248,3.997109,44.890976,4.190733,52.628167,6.821226,LSTM
1,E+M,11.402153,0.680606,27.167074,2.548516,21.550176,1.914469,78.659424,19.131285,72.108723,10.254629,82.496875,17.381536,68.065493,7.247961,LSTM
1,E+T,13.524616,1.097758,25.49686,4.56015,20.82534,2.663252,41.577225,4.864394,45.361607,4.60486,47.742294,4.488004,59.696088,7.010102,LSTM
1,E+T+M,11.751795,0.591777,23.399824,1.119667,18.849659,0.861667,63.106264,3.920914,72.676112,3.226273,68.87374,3.212009,52.051263,4.181211,LSTM
1,E,19.102853,0.009819718,20.325203,0.03456959,20.726062,0.01774056,15.795201,0.0697218,31.463623,0.1407088,21.365425,0.0999905,22.939413,0.09873316,XGBoost
1,E+T,92.447902,0.000397479,107.267474,0.000918701,101.135246,0.000638951,75.633613,0.000886322,133.538864,0.001275389,78.286796,0.000863152,61.504489,0.000424713,XGBoost
1,E+M,92.470834,3.25085E-05,107.267859,0.000104848,101.147326,5.80484E-05,75.633062,0.000108726,133.541099,0.000131235,78.286115,0.000109559,61.502051,9.28247E-05,XGBoost
1,E+T+M,92.478303,3.30448E-07,107.271946,5.14974E-07,101.152999,3.58076E-07,75.636545,4.40373E-07,133.546124,5.8664E-07,78.289616,4.22879E-07,61.504087,2.04433E-07,XGBoost
1,E+T,20.503624,0.062199,44.874391,0.260267,33.589492,0.163363,31.920688,0.652245,44.073629,0.197743,36.519301,0.794024,45.696062,2.39105,RF
1,E+T+M,32.994121,0.050338,68.699678,0.074069,51.679594,0.051663,49.011487,0.281631,65.51884,0.151504,49.522569,0.38844,52.776478,1.107144,RF
1,E,45.697989,0.198485,94.844231,0.339107,71.11638,0.209884,63.557339,0.329607,116.204739,0.551909,66.444329,0.335196,57.25331,0.12041,RF
1,E+M,64.521526,0.000127,177.851066,0.091053,121.365064,0.044471,145.934083,0.091053,205.613699,0.091053,147.226204,0.090963,118.539251,0.091053,RF
1,E,14.29513706,,,,17.96015906,,13.24829721,,17.91775541,,15.45487735,,13.83184297,,VAR
1,E+M,10.94958448,,,,29.52923581,,38.95609585,,38.56393532,,46.84934274,,42.55029924,,VAR
1,E+T,13.92799905,,,,17.27678487,,15.55437269,,21.293477,,18.71976936,,13.62875241,,VAR
1,E+T+M,10.54773227,,,,28.53038991,,49.0624607,,50.94282337,,63.40617163,,55.29488668,,VAR
1,E,14.22773468,,22.4684574,,17.56630034,,12.7466094,,15.4325252,,14.13452712,,13.25549212,,VAR+OL
1,E+M,13.71494795,,36.73705859,,25.05760054,,22.53135636,,21.04198733,,20.15512553,,21.51975468,,VAR+OL
1,E+T,13.77610215,,20.67089244,,16.93192503,,13.15327561,,15.84816836,,14.76583369,,12.83417796,,VAR+OL
1,E+T+M,13.32516108,,34.79269138,,24.20962096,,22.1345317,,21.06800465,,20.25467075,,24.69516974,,VAR+OL
2,E,1.841828,0.029614,3.791426,0.06911,2.564177,0.027404,1.160674,0.0179,1.016177,0.008359,0.795042,0.004284,1.714203,0.018606,FSNet
2,E+T,1.634504,0.01158,3.350186,0.037086,2.368229,0.013439,1.19866,0.015445,1.037485,0.009504,0.804649,0.008638,1.573632,0.015991,FSNet
2,E+M,1.785588,0.018751,3.591038,0.035584,2.487934,0.023154,1.120387,0.006295,0.981993,0.006435,0.764487,0.003519,1.610508,0.010264,FSNet
2,E+T+M,1.677132,0.017497,3.407294,0.034579,2.407355,0.020619,1.233679,0.015854,1.061138,0.008249,0.834698,0.007365,1.590553,0.014584,FSNet
2,E,2.127135,0.00375,4.668791,0.013975,3.50571,0.003879,1.399123,0.002395,1.206304,0.003653,0.933089,0.002124,2.393005,0.004073,NBEATS+OL
2,E+T,2.236293,0.008943,4.365703,0.012823,3.123594,0.005535,2.114903,0.00701,1.712612,0.013958,1.498387,0.011066,2.36696,0.012047,NBEATS+OL
2,E+M,1.879132,0.01065,4.209917,0.02143,2.914897,0.004488,1.400846,0.004032,1.195113,0.00515,0.979136,0.00235,2.02338,0.007716,NBEATS+OL
2,E+T+M,2.217916,0.01055,4.251091,0.008708,3.055088,0.003325,2.12907,0.014975,1.720592,0.014511,1.531436,0.011336,2.350151,0.011845,NBEATS+OL
2,E,1.52058,0.003473,4.337234,0.01659,3.354575,0.005293,1.825496,0.019622,1.945882,0.024502,1.610731,0.022518,2.467551,0.009545,NBEATS
2,E+T,1.2134,0.012479,3.731293,0.014564,3.277737,0.010758,17.574219,0.336794,16.367146,0.309905,18.651241,0.372126,10.541236,0.225768,NBEATS
2,E+M,0.970475,0.012265,3.887395,0.032198,3.062096,0.025852,2.66154,0.083012,3.031967,0.192016,2.740888,0.153471,2.751118,0.048095,NBEATS
2,E+T+M,0.974563,0.013272,3.643621,0.010624,3.204525,0.011628,20.651121,0.620681,19.874174,0.5914,22.216335,0.677979,12.094534,0.461172,NBEATS
2,E,2.697282,0.018151,6.738333,0.35435,4.405074,0.241395,1.836548,0.247715,1.578167,0.236872,1.315439,0.202826,2.656792,0.162976,LSTM+OL
2,E+T,2.301002,0.018477,5.231676,0.237988,3.424493,0.081658,1.626578,0.06313,1.24258,0.042112,1.0066,0.03478,2.361093,0.073181,LSTM+OL
2,E+M,2.604984,0.079036,6.783786,0.396304,4.670848,0.098708,2.081942,0.163979,1.876571,0.184916,1.556487,0.107259,2.784293,0.07173,LSTM+OL
2,E+T+M,2.376826,0.010793,5.273099,0.309103,3.507434,0.072525,1.594544,0.023861,1.193897,0.025181,0.961803,0.020743,2.285237,0.010894,LSTM+OL
2,E,1.701986,0.086162,4.304108,0.220608,3.583613,0.1236,2.457554,0.134776,2.630009,0.172481,2.302639,0.189016,2.747257,0.15473,LSTM
2,E+M,1.232808,0.031438,3.680565,0.088643,3.152912,0.044806,5.867527,1.262085,6.506593,1.057431,5.380268,1.499251,4.869925,0.584638,LSTM
2,E+T,1.507648,0.05675,4.112824,0.133805,3.423038,0.10351,2.598485,0.248171,2.858101,0.340324,2.552099,0.315288,2.73658,0.16572,LSTM
2,E+T+M,1.293727,0.034044,3.733829,0.089438,3.270171,0.08041,6.68039,1.441273,7.433705,1.050928,6.437118,1.692399,4.609459,0.755688,LSTM
2,E+T+M,1.011728,0.003517466,4.004543,0.02119556,3.323337,0.01742234,9.049433,0.2113753,9.337949,0.2323313,10.462654,0.2652133,6.188045,0.131697,XGBoost
